# name-stuff given names
# format: name|gender|frequency|tags
#
Aerie|F|2|modern
Aeriel|F|3|modern
Aerielle|F|2|modern
Aerilyn|F|2|modern
Aerin|F|3|modern
Aerion|M?|2|modern
Aerionna|F|2|modern
Aeris|F|4|modern
Aerith|F|3|3
Aero|M?|3|modern
Aeron|F|3|modern
Aeronwen|F|1|1
Aeronwy|F|1|1
Aeryn|F|4|modern
Aesha|F|3|modern
Aeson|M|3|modern
Aeva|F|3|modern
Affan|M|3|modern
Afia|F|3|modern
Afifa|F|2|modern
Afiya|F|2|2
Afiyah|F|2|2
Afnan|F?|3|modern
Afomia|F|2|modern
Afra|F|2|modern
Afrah|F|2|modern
Afreen|F|2|modern
Africa|F|4|4
Afrika|F|2|2
Afsana|F|2|modern
Afsheen|F?|2|modern
Aftan|F|2|modern
Aften|F|2|modern
Afton|F?|5|modern
Aftyn|F|2|modern
Afua|F|2|modern
Agam|U|3|modern
Agamjot|M|2|modern
Agape|U|2|2
Agapita|F|2|vintage
Agapito|M|4|vintage
Agasthya|M|2|2
Agastya|M|4|4
Agata|F|2|modern
Agatha|F|5|vintage
Aggie|F|4|vintage
Agnes|F|8|vintage
Agness|F|3|vintage
Agnieszka|F|2|modern
Agostino|M|3|vintage
Agripina|F|2|vintage
Agron|M|2|modern
Agueda|F|2|modern
Agusta|F|2|vintage
Agustin|M|6|modern
Agustina|F|4|modern
Agustine|M|3|modern
Agustus|M|2|modern
Ahaan|M|3|modern
Ahaana|F|2|modern
Ahad|M|3|modern
Ahan|M|2|modern
Ahana|F|4|modern
Aharon|M|4|modern
Ahava|F|2|modern
Ahil|M|2|2
Ahilyn|F|2|modern
Ahja|F|2|modern
Ahjanae|F|2|modern
Ahkeem|M|2|modern
Ahlam|F|4|modern
Ahlana|F|2|modern
Ahlani|F|3|3
Ahlaya|F|2|modern
Ahlayah|F|2|modern
Ahleah|F|2|modern
Ahlia|F|2|modern
Ahlivia|F|2|modern
Ahliyah|F|2|modern
Ahmaad|M|2|modern
Ahmad|M|6|modern
Ahmadou|M|2|modern
Ahman|M|2|modern
Ahmani|F?|3|modern
Ahmar|M|2|modern
Ahmari|U|4|modern
Ahmarion|M|2|modern
Ahmaud|M|2|modern
Ahmaya|F|2|modern
Ahmed|M|6|modern
Ahmeer|M|2|modern
Ahmeir|M|2|modern
Ahmere|M|2|modern
Ahmet|M|3|modern
Ahmi|U|2|2
Ahmia|F|2|modern
Ahmina|F|2|modern
Ahmir|M|4|modern
Ahmira|F|2|modern
Ahmiya|F|2|modern
Ahmiyah|F|2|modern
Ahmod|M|2|modern
Ahmon|M|2|modern
Ahmya|F|3|modern
Ahna|F|4|modern
Ahnaf|M|2|modern
Ahnesti|F|2|modern
Ahnesty|F|2|modern
Ahni|F|2|modern
Ahnika|F|2|modern
Ahniya|F|2|modern
Ahniyah|F|2|modern
Ahnna|F|2|modern
Ahnya|F|2|modern
Ahnyla|F|2|modern
Ahren|M|3|modern
Ahri|F|2|modern
Ahria|F|2|modern
Ahriana|F|2|modern
Ahrianna|F|2|modern
Ahriyah|F|2|modern
Ahron|M|4|modern
Ahsan|M|3|3
Ahsha|F|2|modern
Ahsley|F|4|modern
Ahsoka|F|2|2
Ahtziri|F|4|modern
Ahtziry|F|2|modern
Ahuva|F|4|modern
Ahyan|M|2|modern
Ahzir|M|2|2
Ai|F|2|modern
Aiana|F|2|modern
Aibhlinn|F|2|modern
Aicha|F|4|modern
Aida|F|6|6
Aidah|F|2|modern
Aidaly|F|2|modern
Aidan|M|8|modern
Aidana|F|2|2
Aidden|M|2|modern
Aide|F|4|modern
Aidee|F|3|modern
Aideen|F|5|modern
Aidel|F|2|modern
Aideliz|F|2|modern
Aiden|M|9|modern
Aidenjames|M|2|modern
Aidenn|M|2|modern
Aidian|M|2|modern
Aidin|M|3|modern
Aidon|M|3|modern
Aidric|M|2|modern
Aidy|F|2|modern
Aidyn|M?|5|modern
Aidynn|U|2|modern
Aiesha|F|4|modern
Aigner|F|2|modern
Aija|F|2|modern
Aijah|F|2|modern
Aijalon|U|2|modern
Aika|F|2|modern
Aiken|M|2|modern
Aiko|F|4|4
Aila|F|4|4
Ailah|F|2|2
Ailana|F|2|2
Ailani|F|5|5
Ailanie|F|2|modern
Ailanny|F|2|2
Ailany|F|4|4
Ailbhe|F?|3|3
Ailean|M?|1|1
Ailed|F|2|modern
Ailee|F|3|modern
Aileen|F|6|modern
Aileena|F|2|modern
Aileene|F|2|vintage
Ailen|F|3|3
Ailene|F|4|vintage
Ailey|F|3|modern
Aili|F?|4|modern
Ailidh|F|1|1
Ailie|F|2|modern
Ailin|F|4|modern
Ailin|M|1|1
Ailis|F|2|modern
Ailis|F|1|1
Ailish|F|3|modern
Ailsa|F|3|modern
Aily|F|2|modern
Ailyn|F|4|modern
Ailynn|F|3|modern
Aima|F|2|modern
Aiman|U|3|modern
Aimar|U|2|modern
Aime|F?|4|modern
Aimee|F|7|7
Aimen|U|2|modern
Aimi|F|2|modern
Aimie|F|3|3
Aimy|F|2|modern
Aina|F|3|modern
Ainara|F|4|4
Aindrias|M|1|1
Aindriu|M|1|1
Aine|F?|4|modern
Aine|F|7|7
Ainhara|F|2|2
Ainhoa|F|4|4
Ainoa|F|2|2
Ainoah|F|2|2
Ainoha|F|2|2
Ainslee|F|4|modern
Ainsleigh|F|3|modern
Ainsley|U|6|modern
Ainslie|F|3|modern
Ainsworth|M|1|1
Aira|F|4|4
Airabella|F|2|modern
Airah|F|2|2
Airam|F?|4|modern
Aireal|F|2|modern
Aireana|F|2|modern
Aireanna|F|2|modern
Airel|F|2|modern
Airelle|F|2|modern
Airen|U|2|modern
Aireona|F|2|modern
Aireonna|F|2|modern
Aires|M?|2|2
Airess|F|2|2
Airi|F|2|modern
Airiana|F|3|modern
